302,QuonsetArea,"If a Quonset Hut exist, potentially details its square footage.",int,,
303,QuonsetFlag,Indicates the presence of a Quonset Hut on the property.,smallint,,
304,ShedArea,"If a shed exist, potentially details its square footage.",int,,
305,ShedCode,Indicates the presence of a shed on the property.,varchar(4),,
306,SiloArea,"If a silo exist, potentially details its square footage.",int,,
307,SiloFlag,Indicates the presence of a silo on the property.,smallint,,
308,StableArea,"If a stable exist, potentially details its square footage.",int,,
309,StableFlag,Indicates the presence of a stable on the property.,smallint,,
310,StorageBuildingArea,"If a storage building exist, potentially details its square footage.",int,,
311,StorageBuildingFlag,Indicates the presence of a storage building on the property.,smallint,,
312,UtilityBuildingArea,"If a utility building exist, potentially details its square footage.",int,,
313,UtilityBuildingFlag,Indicates the presence of a utility building on the property.,smallint,,
314,PoleStructureArea,"If a pole structure exist, potentially details its square footage.",int,,
315,PoleStructureFlag,Indicates the presence of a pole structure on the property.,smallint,,
316,CommunityRecRoomFlag,Identifies the presence of a community recreation room is present in the community,smallint,2/2021 - Description updated,
317,PublicationDate,Date the subject file was produced.,date,,
318,ParcelShellRecord,Property Record created from deed record.,smallint,,
,,,,,
CONFIDENTIAL.  This document is Confidential Information to ATTOM Data Solutions for your internal use only.  Do not distribute.,,,,,
