"RT Standard Field Name","Field Definition","Field Data Type","Field Size","Acceptable Value","Value Definition"
MailingPrivacyCode,,,,M,"Owner on Do Not Mail list"
MailingPrivacyCode,,,,P,"Owner on Do Not Call lists"
MailingPrivacyCode,,,,(blank),"None, known"
TransferPrice,"The amount paid for the property from the most recent arms-length ownership transfer",int,12,,
CreateDate,"The date of subject property record creation for this property",date,,,
LastUpdated,"The date when the record data was last updated",date,,,
PublicationDate,"The date when the record data was included for publication",date,,,
ProcessIndicator,"An indicator for suggested record processing",char,1,I,Insert
ProcessIndicator,,,,U,Update
EstimatedValue,"The current estimated AVM value of the property",int,,,
LastSaleDate,"The date which the current owner acquired the property",int,,,
LastSaleAmount,"The amount paid by current owner for the property",int,,,
PriorSaleDate,"The date which the previous owner acquired the property ",int,,,
PriorSaleAmount,"The amount paid by previous owner",varchar,,,
OpenLoan1,"The amount of mortgage modeled in lien position 1",int,,,
OpenLoan2,"The amount of mortgage modeled in lien position 2",varchar,,,
OpenLoan3,"The amount of mortgage modeled in lien position 3",int,,,
Equity,"The available equity on the property. This value is calculated from Estimated Value minus the sum of OpenLoan1 , OpenLoan2,  and OpenLoan3 fields ",varchar,,,
OccupancyStatus,"The property occupancy status as represented by postal change of address",int,,,
CalculationDate,"The last date which the record estimated value was calculated",date,,,
